numVotes,stillExists,uid,liked,disliked,liked_churned_people,voteDate,vote,Activity,likes,dislikes,txt_len
4,True,51256aec740f1ef260003e307d6,6,0,0,736365.5,2.5,37,7.5,1.0,114.5
72,True,256aec740f1ef260003e307d6,60,12,1,736168.3611111111,2.25,406,5.428571428571429,4.785714285714286,59.57142857142857
14,False,48756aec740f1ef260003e307d6,1,0,0,736276.7857142857,3.142857142857143,66,6.0,0.0,92.0
14,False,48756aec740f1ef260003e307d6,1,0,0,736276.7857142857,3.142857142857143,66,6.0,0.0,92.0
22,True,356aec740f1ef260003e307d6,6,5,0,736120.3181818182,3.4545454545454546,378,3.3333333333333335,0.8888888888888888,85.55555555555556
195,True,456aec740f1ef260003e307d6,210,30,1,736294.8205128205,3.8564102564102565,368,7.2727272727272725,0.9090909090909091,68.72727272727273
29,True,51656aec740f1ef260003e307d6,37,5,0,736374.0689655172,2.793103448275862,62,6.2727272727272725,2.909090909090909,66.36363636363636
15,False,47556aec740f1ef260003e307d6,38,1,1,736254.0,2.8,111,5.076923076923077,5.538461538461538,202.69230769230768
15,False,47556aec740f1ef260003e307d6,38,1,1,736254.0,2.8,111,5.076923076923077,5.538461538461538,202.69230769230768
42,True,556aec740f1ef260003e307d6,16,2,0,736219.5952380953,3.0238095238095237,403,14.0,3.0,107.0
63,True,656aec740f1ef260003e307d6,100,2,1,736224.7936507936,3.380952380952381,372,10.290322580645162,2.5161290322580645,133.16129032258064
9,False,1456aec740f1ef260003e307d6,15,1,1,736010.4444444445,3.2222222222222223,32,3.3333333333333335,0.3333333333333333,117.33333333333333
9,False,1456aec740f1ef260003e307d6,15,1,1,736010.4444444445,3.2222222222222223,32,3.3333333333333335,0.3333333333333333,117.33333333333333
53,True,756aec740f1ef260003e307d6,84,8,1,736295.2641509434,3.660377358490566,365,5.0625,2.1875,85.375
29,True,856aec740f1ef260003e307d6,14,2,0,736188.2068965518,3.586206896551724,344,6.2,0.0,75.0
22,True,52056aec740f1ef260003e307d6,2,0,0,736375.5454545454,3.6363636363636362,49,11.666666666666666,1.6666666666666667,111.0
56,True,1056aec740f1ef260003e307d6,29,6,0,736236.7857142857,3.482142857142857,399,2.6666666666666665,3.3333333333333335,86.33333333333333
11,True,1156aec740f1ef260003e307d6,23,2,0,736095.7272727273,3.4545454545454546,112,4.555555555555555,0.2222222222222222,37.77777777777778
18,True,52356aec740f1ef260003e307d6,3,1,0,736376.6111111111,2.7222222222222223,52,5.857142857142857,1.7142857142857142,48.285714285714285
69,True,1256aec740f1ef260003e307d6,67,29,1,736190.7101449275,3.36231884057971,399,4.172413793103448,2.0344827586206895,85.27586206896552
